MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,ZIP_CODE,COUNTY,CITY,POPULATION,PER_THOUSAND,PER_THOUSAND_SCALED
10012,Greenwich Village/SoHo,Manhattan,283,1180.09,23981.2,9,37.53,2.81,10075,10012,NEW YORK,NEW YORK,24090,11.747613117476131,0.06830854784633658
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,359,1236.61,29031.09,22,75.78,2.84,12653,10013,NEW YORK,NEW YORK,27700,12.96028880866426,0.09628273947965352
10014,Hudson Square/Meatpacking District/West Village,Manhattan,444,1430.27,31043.16,29,93.42,3.33,13321,10014,NEW YORK,NEW YORK,31959,13.892800150192434,0.11779405627911235
10016,Kips Bay/Murray Hill/NoMad,Manhattan,950,1808.68,52524.35,49,93.29,4.45,21343,10016,NEW YORK,NEW YORK,54183,17.53317461196316,0.20177078109564775
10017,East Midtown/Murray Hill,Manhattan,193,1196.73,16127.22,8,49.61,3.26,5922,10017,NEW YORK,NEW YORK,16575,11.644042232277526,0.06591935854269068
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,224,2350.12,9531.44,6,62.95,6.35,3525,10018,NEW YORK,NEW YORK,5229,42.8380187416332,0.7855068649294475
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,781,1922.16,40631.45,42,103.37,4.32,18061,10019,NEW YORK,NEW YORK,42870,18.217867972941452,0.21756539413955275
10021,Lenox Hill/Upper East Side,Manhattan,731,1654.76,44175.61,65,147.14,4.07,17939,10021,NEW YORK,NEW YORK,43631,16.75414269670647,0.18379995159505066
10022,East Midtown,Manhattan,451,1486.74,30334.8,33,108.79,3.8,11876,10022,NEW YORK,NEW YORK,31924,14.127302343064779,0.12320358937152295
10023,Lincoln Square,Manhattan,745,1236.01,60274.81,54,89.59,3.36,22177,10023,NEW YORK,NEW YORK,60998,12.21351519721958,0.07905604955335502
10024,Upper West Side,Manhattan,933,1627.2,57337.68,75,130.8,3.91,23886,10024,NEW YORK,NEW YORK,59283,15.738069935731996,0.16036102696298773
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1708,1849.82,92333.47,181,196.03,4.19,40736,10025,NEW YORK,NEW YORK,94600,18.054968287526428,0.21380759883622466
10026,Central Harlem (South),Manhattan,833,2134.91,39018.03,50,128.15,6.42,12966,10026,NEW YORK,NEW YORK,34003,24.497838426021232,0.36243273021512046
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1286,2021.03,63631.04,115,180.73,5.66,22704,10027,NEW YORK,NEW YORK,59707,21.538513072169092,0.29416655224557264
10028,Upper East Side/Yorkville,Manhattan,623,1267.42,49155.08,34,69.17,3.68,16922,10028,NEW YORK,NEW YORK,45141,13.80120068230655,0.11568102549374301
10029,East Harlem,Manhattan,2191,2778.99,78841.52,212,268.89,8.14,26900,10029,NEW YORK,NEW YORK,76003,28.82780942857519,0.4623171753906268
10030,Central Harlem (North),Manhattan,620,2114.46,29321.91,58,197.8,7.06,8781,10030,NEW YORK,NEW YORK,26999,22.963813474573133,0.32704560381856973
10031,Hamilton Heights/West Harlem,Manhattan,1682,2777.55,60556.93,135,222.93,8.61,19534,10031,NEW YORK,NEW YORK,56438,29.80261525922251,0.48480414804947947
10032,Washington Heights (South),Manhattan,1897,3084.93,61492.57,175,284.59,9.19,20635,10032,NEW YORK,NEW YORK,57331,33.08855592960178,0.5606047389880501
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1678,2833.96,59210.43,123,207.73,8.79,19081,10033,NEW YORK,NEW YORK,53926,31.11671549901717,0.5151180169597953
10034,Inwood/Washington Heights (North),Manhattan,953,2212.49,43073.65,72,167.16,7.44,12801,10034,NEW YORK,NEW YORK,38908,24.493677392824097,0.36233674285354056
10035,East Harlem,Manhattan,1197,3476.96,34426.65,137,397.95,9.13,13109,10035,NEW YORK,NEW YORK,33969,35.238011127792994,0.6101887061264678
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,579,2208.97,26211.25,40,152.61,5.0,11587,10036,NEW YORK,NEW YORK,24711,23.43086075027316,0.33781952308419816
10037,Central Harlem (North)/East Harlem,Manhattan,617,2987.95,20649.62,66,319.62,8.68,7106,10037,NEW YORK,NEW YORK,17416,35.42719338539274,0.614552791896616
10038,Chinatown/Financial District,Manhattan,355,1610.13,22047.96,28,127.0,4.47,7947,10038,NEW YORK,NEW YORK,20300,17.48768472906404,0.2007214133950794
10039,Central Harlem (North)/Washington Heights (South),Manhattan,651,2460.55,26457.52,66,249.46,8.29,7850,10039,NEW YORK,NEW YORK,24527,26.54217800790965,0.40959187395229757
10040,Washington Heights (North),Manhattan,1391,3104.34,44808.28,120,267.81,9.03,15407,10040,NEW YORK,NEW YORK,41905,33.19412957880921,0.5630401283636411
10044,Roosevelt Island,Manhattan,270,2307.64,11700.29,36,307.68,6.98,3866,10044,NEW YORK,NEW YORK,11661,23.15410342166195,0.3314352419422967
10065,Lenox Hill/Upper East Side,Manhattan,425,1462.42,29061.49,28,96.35,3.42,12429,10065,NEW YORK,NEW YORK,32270,13.170127052990393,0.10112332076732392
10069,Lincoln Square,Manhattan,82,1293.76,6338.13,2,31.56,2.98,2751,10069,NEW YORK,NEW YORK,5199,15.772263896903251,0.1611498185825919
10075,Lenox Hill/Upper East Side,Manhattan,493,2085.97,23634.14,47,198.86,4.76,10356,10075,NEW YORK,NEW YORK,26121,18.873703150721642,0.2326943021208107
10128,Upper East Side/Yorkville,Manhattan,791,1289.28,61351.93,41,66.83,3.41,23207,10128,NEW YORK,NEW YORK,60453,13.08454501844408,0.09914910107102401
10280,Battery Park City,Manhattan,69,717.35,9618.7,0,0.0,2.55,2704,10280,NEW YORK,NEW YORK,7853,8.78645103781994,0.0
10282,Battery Park City,Manhattan,87,1577.39,5515.44,14,253.83,5.06,1720,10282,NEW YORK,NEW YORK,4783,18.189420865565545,0.21690917183796818
